Posição,Clube,Estado,Faturamento,Deficit ou Superavit,Ano,Faturamento(Milhões),Superavit/Deficit(Milhões)
3,Corinthians,São Paulo,"R$ 134,6 Milhões[144][145][146]","R$ -23,2 Milhões [144]",2007,134.6,23.2
4,Grêmio,Rio Grande do Sul,"R$ 109,0 Milhões[144][146]","R$ 14,6 Milhões[144]",2007,109.0,14.6
5,Flamengo,Rio de Janeiro,"R$ 89,4 Milhões[144][145][146]","R$ -59,2 Milhões[144]",2007,89.4,59.2
6,Palmeiras,São Paulo,"R$ 86,2 Milhões[144][145][146]","R$ -24,1 Milhões[144]",2007,86.2,24.1
7,Cruzeiro,Minas Gerais,"R$ 77,6 Milhões[144][145][146]","R$ -2,8 Milhões[144]",2007,77.6,2.8
8,Atlético Mineiro,Minas Gerais,"R$ 58,3 Milhões[144][146]","R$ -27,5 Milhões[144]",2007,58.3,27.5
9,Atlético Paranaense,Paraná,"R$ 54,0 Milhões[144][145]","R$ 1,5 Milhão[144]",2007,54.0,1.5
10,Santos,São Paulo,"R$ 53,1 Milhões[144][145][146]","R$ -36,6 Milhões[144]",2007,53.1,36.6
11,Vasco,Rio de Janeiro,"R$ 51,0 Milhões[144][146]","R$ -9,2 Milhões[144]",2007,51.0,9.2
12,Botafogo,Rio de Janeiro,"R$ 41,1 Milhões[144]","R$ -3,7 Milhões[144]",2007,41.1,3.7
13,Goiás,Goiás,"R$ 39,7 Milhões[144]","R$ 7,8 Milhões[144]",2007,39.7,7.8
14,Fluminense,Rio de Janeiro,"R$ 39,3 Milhões[144]","R$ -139,4 Milhões[144]",2007,39.3,139.4
15,Paraná,Paraná,"R$ 24,9 Milhões[144]","R$ -0,3 Milhão[144]",2007,24.9,0.3
16,São Caetano,São Paulo,"R$ 23,2 Milhões[144]","R$ -0,3 Milhão[144]",2007,23.2,0.3
17,Grêmio Barueri,São Paulo,"R$ 21,0 Milhões[144]","R$ 2,0 Milhões[144]",2007,21.0,2.0
18,Figueirense,Santa Catarina,"R$ 18,9 Milhões[144]","R$ 0,4 Milhão[144]",2007,18.9,0.4
19,Coritiba,Paraná,"R$ 14,9 Milhões[144]","R$ -11,4 Milhões[144]",2007,14.9,11.4
20,Portuguesa,São Paulo,"R$ 12,4 Milhões[144]","R$ -12,9 Milhões[144]",2007,12.4,12.9
